"male","group D","high school","free/reduced","none","69","70","67"
"female","group C","high school","free/reduced","none","35","53","46"
"male","group D","high school","standard","none","72","66","66"
"female","group B","associate's degree","free/reduced","none","54","65","65"
"male","group D","high school","free/reduced","none","74","70","69"
"male","group E","some high school","standard","completed","74","64","60"
"male","group E","associate's degree","free/reduced","none","64","56","52"
"female","group D","high school","free/reduced","completed","65","61","71"
"male","group E","associate's degree","free/reduced","completed","46","43","44"
"female","group C","some high school","free/reduced","none","48","56","51"
"male","group C","some college","free/reduced","completed","67","74","70"
"male","group D","some college","free/reduced","none","62","57","62"
"male","group D","associate's degree","free/reduced","completed","61","71","73"
"male","group C","bachelor's degree","free/reduced","completed","70","75","74"
"male","group C","associate's degree","standard","completed","98","87","90"
"male","group D","some college","free/reduced","none","70","63","58"
"male","group A","associate's degree","standard","none","67","57","53"
"female","group E","high school","free/reduced","none","57","58","57"
"male","group D","some college","standard","completed","85","81","85"
"male","group D","some high school","standard","completed","77","68","69"
"male","group C","master's degree","free/reduced","completed","72","66","72"
"female","group D","master's degree","standard","none","78","91","96"
"male","group C","high school","standard","none","81","66","64"
"male","group A","some high school","free/reduced","completed","61","62","61"
"female","group B","high school","standard","none","58","68","61"
"female","group C","associate's degree","standard","none","54","61","58"
"male","group B","high school","standard","none","82","82","80"
"female","group D","some college","free/reduced","none","49","58","60"
"male","group B","some high school","free/reduced","completed","49","50","52"
"female","group E","high school","free/reduced","completed","57","75","73"
"male","group E","high school","standard","none","94","73","71"
"female","group D","some college","standard","completed","75","77","83"
"female","group E","some high school","free/reduced","none","74","74","72"
"male","group C","high school","standard","completed","58","52","54"
"female","group C","some college","standard","none","62","69","69"
"male","group E","associate's degree","standard","none","72","57","62"
"male","group C","some college","standard","none","84","87","81"
"female","group D","master's degree","standard","none","92","100","100"
"female","group D","high school","standard","none","45","63","59"
"male","group C","high school","standard","none","75","81","71"
"female","group A","some college","standard","none","56","58","64"
"female","group D","some high school","free/reduced","none","48","54","53"
"female","group E","associate's degree","standard","none","100","100","100"
"female","group C","some high school","free/reduced","completed","65","76","75"
"male","group D","some college","standard","none","72","57","58"
"female","group D","some college","standard","none","62","70","72"
"male","group A","some high school","standard","completed","66","68","64"
"male","group C","some college","standard","none","63","63","60"
"female","group E","associate's degree","standard","none","68","76","67"
"female","group B","bachelor's degree","standard","none","75","84","80"
"female","group D","bachelor's degree","standard","none","89","100","100"
"male","group C","some high school","standard","completed","78","72","69"
"female","group A","high school","free/reduced","completed","53","50","60"
"female","group D","some college","free/reduced","none","49","65","61"
"female","group A","some college","standard","none","54","63","67"
"female","group C","some college","standard","completed","64","82","77"
"male","group B","some college","free/reduced","completed","60","62","60"
"male","group C","associate's degree","standard","none","62","65","58"
"male","group D","high school","standard","completed","55","41","48"
"female","group C","associate's degree","standard","none","91","95","94"
"female","group B","high school","free/reduced","none","8","24","23"
"male","group D","some high school","standard","none","81","78","78"
"male","group B","some high school","standard","completed","79","85","86"
"female","group A","some college","standard","completed","78","87","91"
"female","group C","some high school","standard","none","74","75","82"
"male","group A","high school","standard","none","57","51","54"
"female","group C","associate's degree","standard","none","40","59","51"
"male","group E","some high school","standard","completed","81","75","76"
"female","group A","some high school","free/reduced","none","44","45","45"
"female","group D","some college","free/reduced","completed","67","86","83"
"male","group E","high school","free/reduced","completed","86","81","75"
"female","group B","some high school","standard","completed","65","82","78"
"female","group D","associate's degree","free/reduced","none","55","76","76"
"female","group D","bachelor's degree","free/reduced","none","62","72","74"
"male","group A","high school","standard","none","63","63","62"
"female","group E","master's degree","standard","completed","88","99","95"
"male","group C","high school","free/reduced","none","62","55","55"
"female","group C","high school","free/reduced","completed","59","71","65"
"female","group D","some college","standard","completed","68","78","77"
"female","group D","some college","free/reduced","none","77","86","86"
